1405,grodziski,14,WGM,367 ,97 462,Marek Wieżbicki,False,ul. Daleka 11a 05-825 Grodzisk Mazowiecki,https://pl.wikipedia.org//wiki/Powiat_grodziski_(wojew%C3%B3dztwo_mazowieckie)
3005,grodziski,30,PGO,"643,72 ",51 893,Mariusz Zgaiński,False,ul. Żwirki i Wigury 1 62-065 Grodzisk Wielkopolski,https://pl.wikipedia.org//wiki/Powiat_grodziski_(wojew%C3%B3dztwo_wielkopolskie)
1406,grójecki,14,WGR,"1268,82 ",97 979,Krzysztof Ambroziak,False,ul. Piłsudskiego 59 05-600 Grójec,https://pl.wikipedia.org//wiki/Powiat_gr%C3%B3jecki
0462011,grudziądz,04,CG,"57,8 ",89 081,Maciej Glamowski,True,ul. Ratuszowa 1 86-300 Grudziądz,https://pl.wikipedia.org//wiki/Grudzi%C4%85dz
0406,grudziądzki,04,CGR,"728,39 ",40 202,Adam Olejnik (2018),False,ul. Małomłyńska 1 86-300 Grudziądz,https://pl.wikipedia.org//wiki/Powiat_grudzi%C4%85dzki
3205,gryficki,32,ZGY,"1017,37 ",60 277,Ryszard Chmielowicz,False,pl. Zwycięstwa 39 72-300 Gryfice,https://pl.wikipedia.org//wiki/Powiat_gryficki
3206,gryfiński,32,ZGR,"1869,11 ",77 288,Ewa Dudar,False,ul. Sprzymierzonych 4 74-100 Gryfino,https://pl.wikipedia.org//wiki/Powiat_gryfi%C5%84ski
2005,hajnowski,20,BHA,"1623,65 ",39 427,Andrzej Skiepko,False,ul. A. Zina 1 17-200 Hajnówka,https://pl.wikipedia.org//wiki/Powiat_hajnowski
0604,hrubieszowski,06,LHR,"1269,45 ",62 009,Józef Kuropatwa(od 2023),False,ul. Narutowicza 34 22-500 Hrubieszów,https://pl.wikipedia.org//wiki/Powiat_hrubieszowski
2807,iławski,28,NIL,1385 ,92 879,Bartosz Bielawski,False,ul. gen. Wł. Andersa 2a 14-200 Iława,https://pl.wikipedia.org//wiki/Powiat_i%C5%82awski
0407,inowrocławski,04,CIN,"1224,94 ",159 814,Wiesława Pawłowska,False,ul. Mątewska 17 88-100 Inowrocław,https://pl.wikipedia.org//wiki/Powiat_inowroc%C5%82awski
0605,janowski,06,LJA,"875,34 ",45 142,Artur Pizoń,False,ul. J. Zamoyskiego 59 23-300 Janów Lubelski,https://pl.wikipedia.org//wiki/Powiat_janowski
